chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance	Fold Change	gene expression p-value
"chr9"	121995341	121995340	0	"*"	3.16271845276447	-35.2840909090909	uc.1223	Pomgnt2	(+668)	-1.21	0.064
"chr9"	121995376	121995375	0	"*"	9.94856506753401	46.9119917653114	uc.1224	Pomgnt2	(+633),	-1.21	0.064
"chr9"	121995738	121995737	0	"*"	7.35136025178057	32.3529411764706	uc.1225	Pomgnt2	(+271),	-1.21	0.064
"chr17"	12318400	12318399	0	"*"	8.097838159105	-29.8245614035088	uc.1317	Map3k4	(+260)	-1.33	0.0249
"chr8"	124722922	124722921	0	"*"	8.82545736364803	44.9275362318841	uc.1367	Arv1	(+784)	-1.39	0.0103
"chrX"	134601321	134601320	0	"*"	10.0247461180124	-37.03132415757	uc.1784	Hnrnph2	(+64),	1.32	0.0088
"chrX"	134601327	134601326	0	"*"	7.91274070274116	-31.7987660180351	uc.1785	Hnrnph2	(+70),	1.32	0.0088
"chrX"	134601328	134601327	0	"*"	14.5295414768459	-43.4649122807018	uc.1786	Hnrnph2	(+71),	1.32	0.0088
"chrX"	134601344	134601343	0	"*"	9.84641488118029	-33.4124347413384	uc.1787	Hnrnph2	(+87),	1.32	0.0088
"chrX"	134601345	134601344	0	"*"	12.7503818964518	-39.5082193673159	uc.1788	Hnrnph2	(+88),	1.32	0.0088
"chrX"	134601419	134601418	0	"*"	10.5216756461433	-27.741935483871	uc.1789	Hnrnph2	(+162),	1.32	0.0088
"chrX"	134601469	134601468	0	"*"	12.5278464098524	-36.5820178448868	uc.1790	Hnrnph2	(+212),	1.32	0.0088
"chrX"	134601721	134601720	0	"*"	8.9727670854244	-38.863287250384	uc.1791	Hnrnph2	(+464)	1.32	0.0088
"chrX"	142390487	142390486	0	"*"	9.79133482451868	-27.0882491741387	uc.2132	Acsl4	(+48)	1.2	0.0313
"chr4"	155652478	155652477	0	"*"	5.74938074179016	25.6410256410256	uc.2501	Mmp23	(+906)	-1.28	0.0959
"chrX"	162159392	162159391	0	"*"	8.45221270067192	-39.3920972644377	uc.2660	Nhs	(+338)	-1.21	0.0954
"chrX"	162159394	162159393	0	"*"	15.380459559078	-50.7598784194529	uc.2661	Nhs	(+336),	-1.21	0.0954
"chrX"	162159502	162159501	0	"*"	4.92382725764068	-29.7777777777778	uc.2662	Nhs	(+228),	-1.21	0.0954
"chr19"	10577857	10577856	0	"*"	6.79846935974166	-37.2093023255814	uc.319	Cyb561a3	(+404)	-1.33	0.0054
"chr14"	29018359	29018358	0	"*"	6.05142460071075	27.7777777777778	uc.3596	Lrtm1	(+152)	2.49	0.0005
"chr12"	31654666	31654665	0	"*"	19.8560919446308	30.8270676691729	uc.3792	Dus4l	(+160)	1.24	0.0316
"chr8"	31918166	31918165	0	"*"	7.92713088928107	-31.8266085059978	uc.3803	Nrg1	(+114)	-1.27	0.0364
"chr8"	31918207	31918206	0	"*"	7.98187386726258	-32.4427480916031	uc.3804	Nrg1	(+73),	-1.27	0.0364
"chr9"	107542891	107542890	0	"*"	4.69370830223513	-39.063829787234	uc.406	Nprl2	(+666)	-1.28	0.043
"chr9"	108053593	108053592	0	"*"	12.2473891421416	-49.2359018510547	uc.441	Amigo3	(+435)	1.24	0.0164
"chr1"	44102206	44102205	0	"*"	6.32616693741644	26.9230769230769	uc.4552	Tex30	(+156)	1.24	0.0298
"chr7"	44708962	44708961	0	"*"	6.87451326737599	44.7714604236343	uc.4597	Izumo2	(+221)	1.26	0.0141
"chrX"	48341754	48341753	0	"*"	8.26152568657847	-32.520325203252	uc.4850	Bcorl1	(+397),	-1.2	0.0083
"chrX"	48341758	48341757	0	"*"	7.7092688906516	-26.9565217391304	uc.4851	Bcorl1	(+401),	-1.2	0.0083
"chrX"	48341759	48341758	0	"*"	18.550048366569	-46.5893108298172	uc.4852	Bcorl1	(+402),	-1.2	0.0083
"chrX"	48341779	48341778	0	"*"	18.4690266783406	-48.5349273323957	uc.4853	Bcorl1	(+422),	-1.2	0.0083
"chrX"	48341792	48341791	0	"*"	11.8085190266798	-33.2981715893108	uc.4854	Bcorl1	(+435),	-1.2	0.0083
"chrX"	48341797	48341796	0	"*"	9.64696824914127	-31.7342955163847	uc.4855	Bcorl1	(+440),	-1.2	0.0083
"chrX"	48341915	48341914	0	"*"	11.5357386160275	-47.4576271186441	uc.4856	Bcorl1	(+558),	-1.2	0.0083
