ID	Overlap	P-value	Adjusted	P-value	Old	P-value	Old	Adjusted	P-value	Odds	Ratio	Combined	Score	Genes
GO:0060347	2/7	0.000319382518408	0.210558750192551	0	0	103.45974025974	832.759973801773	HEY1;ADGRG6
GO:0061314	2/11	0.000827943678026	0.210558750192551	0	0	57.4660894660895	407.81186376446	HEY1;SNAI2
GO:0055081	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	CYBRD1
GO:0070562	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	SNAI2
GO:0033631	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	NPNT
GO:0014037	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	ADGRG6
GO:0042758	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	ABCD1
GO:0010957	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	SNAI2
GO:0072079	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	PAX8
GO:0072235	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	PAX8
GO:0072207	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	PAX8
GO:0072282	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	PAX8
GO:0072283	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	PAX8
GO:0060272	1/5	0.019596384739635	0.238646607695074	0	0	63.8365384615385	251.031453818202	COL2A1
GO:0061311	2/17	0.002016062515791	0.210558750192551	0	0	34.4692640692641	213.937241818714	HEY1;SNAI2
GO:1902221	1/6	0.023469931862476	0.238646607695074	0	0	51.0666666666667	191.603929465387	PCBD1
GO:1902237	1/6	0.023469931862476	0.238646607695074	0	0	51.0666666666667	191.603929465387	PMAIP1
GO:2000698	1/6	0.023469931862476	0.238646607695074	0	0	51.0666666666667	191.603929465387	PAX8
GO:0060556	1/6	0.023469931862476	0.238646607695074	0	0	51.0666666666667	191.603929465387	SNAI2
GO:1902043	1/6	0.023469931862476	0.238646607695074	0	0	51.0666666666667	191.603929465387	PMAIP1
GO:1901976	1/6	0.023469931862476	0.238646607695074	0	0	51.0666666666667	191.603929465387	FEM1B
GO:0034698	1/6	0.023469931862476	0.238646607695074	0	0	51.0666666666667	191.603929465387	PAX8
GO:2001223	1/6	0.023469931862476	0.238646607695074	0	0	51.0666666666667	191.603929465387	ADGRG1
GO:0046137	1/6	0.023469931862476	0.238646607695074	0	0	51.0666666666667	191.603929465387	SNAI2
GO:0003337	1/6	0.023469931862476	0.238646607695074	0	0	51.0666666666667	191.603929465387	PAX8
