chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance
chr1	11853889	11853889	-	6.55921612350097e-21	2.95602608272731e-18	90	uc.2	Sulf1	(-838388)
chr1	44491684	44491684	-	1.68366538315126e-11	4.92419019601881e-10	-76.6666666666667	uc.8	Mettl21e	(-272724)
chr1	89919483	89919483	+	1.77292776299598e-16	2.27339379804436e-14	-84.7247990105133	uc.18	Agap1	(+464678)
chr1	90460610	90460610	+	1.08866689814901e-16	1.48705123193987e-14	88	uc.19	Ackr3	(+256631)
chr1	181460701	181460701	-	6.65255518390544e-16	7.21364994045678e-14	84	uc.34	Ccdc121	(+50750)
chr10	62109015	62109015	-	2.21954684923403e-18	4.96520763384396e-16	89.4736842105263	uc.47	2010107G23Rik	(+2035)
chr10	66807375	66807375	-	1.35526921078796e-12	5.56452809109742e-11	84.1750841750842	uc.50	Reep3	(+289570)
chr10	81467096	81467096	-	4.65164305189757e-15	3.95754392378761e-13	79.3103448275862	uc.55	Nfic	(-39924)
chr10	127650774	127650774	+	5.59900990409127e-16	6.19773064594916e-14	78.1818181818182	uc.62	Nab2	(+15936)
chr11	20762313	20762313	-	4.55700140278576e-16	5.1675429855235e-14	75.609756097561	uc.67	Lgalsl	(+68743)
chr11	20795036	20795036	-	8.570396738548e-14	5.04800116081533e-12	75.4385964912281	uc.68	Lgalsl	(+36020),
chr11	51664544	51664544	+	1.82453208884594e-14	1.30997260524601e-12	76.271186440678	uc.70	0610009B22Rik	(+24330)
chr11	57786727	57786727	-	3.50423332394346e-16	4.10815390516438e-14	-78.125	uc.73	Sap30l	(-14910)
chr11	96145506	96145506	-	5.76548685397927e-15	4.7426351864596e-13	82.6923076923077	uc.88	Ttll6	(+11721)
chr11	97543544	97543544	-	1.3422481554175e-18	3.21177201204786e-16	75.3694581280788	uc.92	4933428G20Rik	(-43205)
chr11	99481894	99481894	-	1.99791438934512e-16	2.52563699254891e-14	81.8181818181818	uc.94	Krt20	(-43745)
chr11	101337488	101337488	+	4.99897824244797e-15	4.19972138415861e-13	-76.7857142857143	uc.98	G6pc	(-30073),
chr11	101337504	101337504	+	4.99897824244797e-15	4.19972138415861e-13	-76.7857142857143	uc.99	G6pc	(-30057)
chr11	104291118	104291118	-	4.1088626975609e-23	3.66462721539697e-20	80.9523809523809	uc.102	Kansl1	(+151173)
chr11	109245104	109245104	+	3.38392367361605e-13	1.66706132091366e-11	76	uc.104	E030025P04Rik	(-100736)
chr12	3139256	3139256	-	3.42811040896098e-24	4.18870792086445e-21	76.7441860465116	uc.114	Rab10	(+170713)
chr12	12652641	12652641	+	5.91869984628479e-16	6.50079402836039e-14	76.390977443609	uc.115	Mycn	(+289273)
chr12	17021256	17021256	-	6.57365875078914e-26	1.22910750546603e-22	100	uc.117	Kcnf1	(+155632)
chr12	25249269	25249269	-	2.51367230723313e-21	1.28071599226412e-18	82.9268292682927	uc.120	Id2	(-152130)
chr12	56438773	56438773	+	5.8713360257245e-14	3.62669110689842e-12	79.0078644888082	uc.128	Nkx2-1	(+98135)
chr12	73551259	73551259	+	5.74769069567009e-22	3.61587747725355e-19	86.1538461538462	uc.132	Tmem30b	(-4868)
chr13	47010929	47010929	+	1.23878774436083e-34	2.48993539959345e-30	76.4071856287425	uc.154	Nhlrc1	(+3921)
chr14	64332839	64332839	+	2.49846411449565e-18	5.49437250045522e-16	-79.6296296296296	uc.181	Prss52	(+228554),
chr14	64332905	64332905	+	1.32803870661441e-21	7.51923329243679e-19	-87.2727272727273	uc.182	Prss52	(+228620)
chr15	11410153	11410153	-	4.01195529334313e-19	1.11380380755381e-16	94.3381180223286	uc.190	Tars	(-10496)
chr15	78095813	78095813	+	1.16024883392448e-20	4.91998726306284e-18	-80.7017543859649	uc.194	Eif3d	(-124990)
chr15	87681606	87681606	-	6.54958277522096e-23	5.46913779502961e-20	-100	uc.203	Zdhhc25	(-918696)
chr16	92423959	92423959	-	5.36148452764471e-19	1.43494845019852e-16	75.4098360655738	uc.220	Kcne1	(-64492)
chr17	29928810	29928810	-	7.27105992889504e-16	7.78203743737632e-14	81.0810810810811	uc.232	Zfand3	(-76277)
chr17	48120695	48120695	-	3.7749797231711e-14	2.47194136522131e-12	79.6610169491525	uc.242	9830107B12Rik	(+25612)
chr19	56703615	56703615	-	4.0051886962193e-27	1.03875340119119e-23	91.6666666666667	uc.280	Adrb1	(-18757)
chr2	10322163	10322163	+	4.51693482700029e-31	3.49189885732497e-27	100	uc.283	Itih5	(+168593),
chr2	10322169	10322169	+	4.19685132808711e-26	8.39360838045463e-23	94	uc.284	Itih5	(+168599),
chr2	10358787	10358787	-	5.3419413027792e-13	2.47571626013704e-11	-75.5102040816327	uc.285	Itih5	(+205217)
chr2	74135816	74135816	-	1.23524051527212e-15	1.23522664139629e-13	-75.1461988304094	uc.302	Atp5g3	(-224492)
chr2	152091376	152091376	-	1.22980594391564e-14	9.19770114779379e-13	75.4098360655738	uc.310	Srxn1	(-14148)
chr3	101431317	101431317	-	1.08150542838529e-15	1.10065898493674e-13	78	uc.341	Atp1a1	(+173367)
chr3	101431317	101431317	-	1.08150542838529e-15	1.10065898493674e-13	78	uc.341	Igsf3	(+54235)
chr4	114245396	114245396	+	6.87490250318137e-18	1.33189386267588e-15	85.7142857142857	uc.360	Trabd2b	(-161328),
chr4	114665518	114665518	-	1.3056852889799e-16	1.74042924253994e-14	-90	uc.361	Trabd2b	(+258795)
chr4	137295727	137295727	+	2.71554885230443e-20	1.03965559763035e-17	97.1428571428571	uc.374	Cdc42	(+61993)
chr5	29086403	29086403	-	3.61063809083761e-46	1.45146020993867e-40	76.6777133388567	uc.397	Shh	(-619148)
chr5	30110443	30110443	-	1.04672833928633e-24	1.45598638842927e-21	-100	uc.398	3110082J24Rik	(-4358)
chr5	43771596	43771596	+	5.77636990850423e-15	4.74959014529219e-13	81.5789473684211	uc.404	Fbxl5	(+10554)
chr5	128532646	128532646	-	2.16892968720181e-21	1.13825057599081e-18	-84.6153846153846	uc.423	Fzd10	(-68198)
chr5	141613357	141613357	-	7.49561019962212e-20	2.54064203746403e-17	86.9565217391304	uc.430	Foxk1	(-788143),
chr5	142315697	142315697	-	1.10417197149882e-16	1.50210540453054e-14	79.2105263157895	uc.431	Foxk1	(-85803)
chr5	149810973	149810973	-	2.03320659423294e-21	1.07686412469803e-18	-77.8929604628737	uc.435	B3glct	(+132744)
chr6	91827236	91827236	-	2.30185791540606e-13	1.19529368657149e-11	-76.2030323005933	uc.452	Ccdc174	(-50817)
chr6	98728043	98728043	-	7.98679136552287e-15	6.28822343768368e-13	79.6495195025438	uc.454	Foxp1	(+707302)
chr6	112305094	112305094	+	2.40142283131769e-20	9.32716072851957e-18	-85.9477124183007	uc.456	Lmcd1	(+31337)
chr6	113437144	113437144	+	4.85662653711662e-17	7.29302181365785e-15	-86.2068965517241	uc.457	Cidec	(-1385)
chr7	45348316	45348316	-	1.26660559940526e-14	9.44481046271049e-13	-82.2128851540616	uc.476	Hrc	(+13027)
chr8	15014274	15014274	+	1.1797187414173e-16	1.59355378844386e-14	79.9240626483151	uc.504	Kbtbd11	(+3250)
chr8	23626108	23626108	-	5.27151211310785e-18	1.05850353036636e-15	-82.1763602251407	uc.507	Sfrp1	(+214607)
chr8	47326917	47326917	-	1.57135428298781e-29	8.21484264194732e-26	91.044776119403	uc.508	Stox2	(-37516)
chr8	47388289	47388289	+	2.37713070309157e-15	2.18735551293038e-13	79.5454545454545	uc.509	Stox2	(-98888),
chr8	104051610	104051610	+	3.96995469328021e-17	6.12631040979537e-15	-79.9539170506912	uc.520	Cdh5	(-50015)
chr9	58490157	58490157	-	1.12202411942389e-16	1.52484323833502e-14	80.3263403263403	uc.546	Cd276	(+65280)
chr9	64617566	64617566	-	3.63901212411477e-15	3.18360488183467e-13	-81.9444444444444	uc.549	Rab11a	(+120192)
chr9	107514058	107514058	+	2.57531494300508e-17	4.20156241538504e-15	-81.9679849340866	uc.557	Cacna2d2	(+114447),
chr9	107524023	107524023	+	2.75380173434437e-16	3.34344869638889e-14	76.170536733917	uc.558	Cacna2d2	(+124412)
chr9	115012573	115012573	-	1.46319880230707e-12	5.95283181826893e-11	-75.5129958960328	uc.563	Rps27rt	(-29835)
chrX	20059574	20059574	-	2.97848045674343e-33	4.60513728969349e-29	76.3075722092115	uc.569	Chst7	(+15)
chrX	56203174	56203174	-	4.88779123229336e-19	1.32047715474727e-16	-80.2518427518428	uc.576	3830403N18Rik	(+66603)
chrX	78775283	78775283	+	1.56721074509782e-25	2.69235745015107e-22	-75.6596004270246	uc.583	Fam47c	(+37521)
chrX	93832691	93832691	-	9.00623045320844e-23	7.21207963684204e-20	81.5789473684211	uc.586	Pdk3	(-491)
